,id,text,author_id,created_at,lang,source,retweet_count,reply_count,like_count,quote_count,pontuacao,palavras
0,1516820236820877314,"He's gone between both sides of the moral compass a fair bit in his 20 year career...

Which side of @RandyOrton do you roll with? 😇😈

#OrtonWeek https://t.co/O3XzluqqvN",1143835416954580992,2022-04-20 16:45:00+00:00,en,Twitter Web App,245,336,2846,224,124,"['sides', 'gone', 'bit', 'side', 'year', 'moral', 'compass', 'fair', 'roll']"
100,1516730897948577794,"🤬 𝗖𝗮𝗹𝗹𝗲𝗿: “I think…MAKE YOUR OWN TEA! I’M ON THE PHONE TO LAURA &amp; ALLY!”

🤣 𝗟𝗮𝘂𝗿𝗮: “Who was that?!”

☕️ 𝗖𝗮𝗹𝗹𝗲𝗿: “Sorry, that was my son…”

Jeremy the #MUFC was interrupted by his son wanting him to make him a tea! 😂 https://t.co/Cj7RVvZrZL",15332636,2022-04-20 10:50:00+00:00,en,Twitter Media Studio,1225,303,14063,298,67,"['wanting', 'make', 'interrupted', 'son']"
200,1516778903460843527,"🎙 New Project

🔷 Cyberium (ESPN)

🔶 Cyberium is a sport metaverse platform based on the Binance Smart Chain.

🔶 Details: https://t.co/9WUgxixgF8

#Cryptocurrency #ESPN #ICOAnnouncement #BTC #BNB #ETH https://t.co/HO0Pvw7CJX",1007618472732512256,2022-04-20 14:00:45+00:00,en,Twitter Web App,118,66,136,8,563,"['platform', 'based', 'sport', 'metaverse']"
300,1516706317230292993,"📢 @KangarooBabyy - a community-driven token on #BNBChain that is inspired by the Kangaroo and the Boxing sport

👤KYC &amp; Audit by @SolidProof_io 
🔐Owner Renounced
🔶Deflation mechanism
💵Low tax
👍Charity donation
👉Available @PancakeSwap 

Check it out👇
https://t.co/mDFTs0hh55 https://t.co/wbVyqGRb34",1358688239037546500,2022-04-20 09:12:19+00:00,en,TweetDeck,116,282,207,62,40,"['inspired', 'token']"
400,1516999672488808448,"In a place where Sport persons or actors who promotes gam(bl)ing, tobacco or alcohol,

@Siva_Kartikeyan , A prime example of how you should be socially sensible &amp; responsible as a celebrity.

A big respect for #Velaikkaran movie &amp; also for not endorsing any products through ads.",322498368,2022-04-21 04:38:01+00:00,en,Twitter for Android,69,0,189,2,35,"['respect', 'place', 'prime']"
401,1516711078868176905,"Want some green💹?There are projects ready to PUMP 

@Jumpnofficial
 is an easy 20x💹

#JUMPN is a #web3 lifestyle app with #GAMEFI elements users can make earning by solojump,extreme sport

Launching Friday on pinksale

https://t.co/oHwIeT0Zh4…

https://t.co/EyUwnns0D2 https://t.co/zYjjkLgflz",1003400207357366272,2022-04-20 09:31:14+00:00,en,Twitter for Android,1664,9,427,6,121,"['easy', 'make', 'elements', 'lifestyle', 'projects', 'users', 'app', 'ready', 'earning']"
501,1516801352739045378,"Ayrton Senna   /  GP Silverstone 1989. 

#F1 📸 S &amp; G and Barratts/EMPICS Sport https://t.co/Xoc6Z4WxvZ",4137746057,2022-04-20 15:29:57+00:00,en,Twitter Web App,129,2,1140,4,0,[]
601,1516957858713067521,"1 hit shutout!! 6-0 final 😇

@Angels | #GoHalos | #LTBU https://t.co/Sy2vRaaXl5",22695090,2022-04-21 01:51:51+00:00,en,Twitter Media Studio,123,0,955,9,14,"['final', 'hit']"
610,1516784783627497472,Sport day- home leg workouts https://t.co/fvPdCJVBcO,1510118740955840514,2022-04-20 14:24:07+00:00,en,Twitter for iPhone,0,0,4,0,30,"['workouts', 'leg', 'home']"
710,1516690817506848769,"Australian swimming superstar Emma McKeon has made it clear she's against transgender athletes competing in women's sport.

#9WWOS

https://t.co/LLh31tC3ck",106878278,2022-04-20 08:10:44+00:00,en,Hootsuite Inc.,577,241,3932,93,147,"['transgender', 'swimming', 'made', 'competing', 'athletes', 'clear', 'superstar']"
810,1516710154305032194,One woman speaking up is inspiring the next woman to speak up and the next and the next and it will continue and that’s how women will maintain our rights to sport &amp; female spaces 💗🙋‍♀️ https://t.co/MygSvY4oi1,310085287,2022-04-20 09:27:34+00:00,en,Twitter for iPhone,1202,91,7359,53,724,"['female', 'inspiring', 'maintain', 'sport', 'speak', 'women', 'spaces', 'continue', 'speaking', 'that’s', 'next', 'woman', 'rights']"
910,1516779716937760772,"A bit of commotion before the face off 👀

@Tyson_Fury and @DillianWhyte want this to be about them, no one else 👊

Respect 🤝

#FuryWhyte https://t.co/wP9bajWhIo",198867393,2022-04-20 14:03:59+00:00,en,Grabyo,437,226,4413,260,126,"['want', 'face', 'one', 'commotion', 'bit', 'else']"
1010,1516924908332326914,"I only play for sport

#PS5Share, #Fortnite https://t.co/bjhZUpngDw",1460990966500937728,2022-04-20 23:40:55+00:00,en,PlayStation®Network,40,4,228,1,76,['play']
1046,1516837826737881096,It’s crazy how a sport can have so much impact on you🥹 https://t.co/T9EhaKpUOG,1461008165231857675,2022-04-20 17:54:54+00:00,en,Twitter for iPhone,1,1,13,1,560,"['impact', 'much', 'crazy', 'sport']"
1146,1516766121558425601,".@DMcIntyreWWE tells me the ticket registrations for WWE's stadium show in Wales is now double what it was inside the first 24 hours.

That means around 120,000 people are trying to attend the UK show on September 3. Capacity likely to be around 78k-ish. Wow!

Make it annual 🙏",1095332600753807364,2022-04-20 13:09:58+00:00,en,Twitter Web App,246,83,3040,75,256,"['double', 'likely', 'trying', 'show', 'inside', 'attend', 'people', 'stadium', 'registrations', 'around', 'tells', 'means', 'first', 'ticket', 'annual']"
1246,1516939008735170560,"Ohtani has been electric in Houston ⚡ 

@Angels | #GoHalos https://t.co/ibSAB0ccHc",22695090,2022-04-21 00:36:57+00:00,en,Wildmoka,186,2,1419,15,5,['electric']
1271,1516932589227065345,Woah the made wii sport in real life https://t.co/j7sbxfSA2T,1370882708,2022-04-21 00:11:27+00:00,en,Twitter for iPhone,0,0,10,1,569,"['sport', 'made', 'life', 'wii', 'real']"
1296,1516900604622344192,"“I chose UD because because I always wanted to play softball at the collegiate level. UD gives me the opportunity to play the sport I love as well as allowing me to focus on my studies as a bio/pre-med major.” - Madi Coutts, @UDallasSoftball ‘22

#WhyUDWednesday #BleedBlue https://t.co/vrdQFtZilA",1435283188545429507,2022-04-20 22:04:21+00:00,en,Twitter for iPhone,8,0,17,0,755,"['collegiate', 'focus', 'allowing', 'sport', 'always', 'softball', 'opportunity', 'gives', 'studies', 'love', 'chose', 'wanted', 'play', 'well']"
1345,1516825541826908160,"Yes, Mexico has a national ice hockey team. The sport is growing in popularity.

""You have to explain what it is,” says 15-year-old Paula Martínez, 1 of 2 girls in the bantam age group. ""They think it’s only fighting and it’s really not just that.”
https://t.co/ccjZubFC0F https://t.co/O5YzqYk4oo",10222282,2022-04-20 17:06:05+00:00,en,Twitter Web App,117,7,490,25,767,"['age', 'hockey', 'girls', 'national', 'sport', 'fighting', 'ice', 'explain', 'think', 'says', 'it’s', 'really', 'growing', 'bantam']"
1445,1516891407197347841,"The quickest manager to reach 250 wins in the history of English football.

👑 Pep Guardiola 👑 https://t.co/jdDdcjJIM7",1125687015956262917,2022-04-20 21:27:48+00:00,en,Twitter Media Studio,632,57,5115,96,69,"['quickest', 'reach', 'manager', 'history', 'wins']"
1509,1516773976088924162,"💥💥WORLDS FIRST APY SPORTS TOKEN IS HERE💥💥

🔥CRYPTO SPORT TOKEN🔥

⚙️5% RFV
🎲Online gambling platform
🏀Betting
💸Auto Staking
🎴NFTS
💰1.5 million APY% Auto Compound Rewards with all that!
🦎COINGECKO &amp; CMC incoming🐸
@CryptoSportsTo1
 
Join TG group https://t.co/HUX1a7sH69 https://t.co/odqqrGeZy5",1442421328774979590,2022-04-20 13:41:10+00:00,en,Twitter for Android,139,68,147,0,41,"['million', 'gambling', 'group']"
1609,1516865322196045824,This man forgot what sport he was playing https://t.co/vGpqGmrlgT,1100073846949007360,2022-04-20 19:44:09+00:00,en,Twitter for iPhone,984,312,10883,427,582,"['man', 'forgot', 'playing', 'sport']"
1690,1516971231509065728,"The locker room is the best moment of any sport!

#straightboy #straightman #gayporn #gaysex #twink #BIGCOCKXXL #BIGCOCKGAY #handjob #PINTOAWARDS #PINTOSAWARDS https://t.co/25EtSZ0HKh",1452354929364975625,2022-04-21 02:45:00+00:00,en,Twitter Web App,7,1,50,0,35,"['locker', 'room', 'best', 'moment']"
1694,1516918090705080321,"In the span of 13 months, Roy Williams, Mike Krzyzewski and Jay Wright have all retired.

A total changing-of-the-guard moment in the sport of college basketball.",22375230,2022-04-20 23:13:50+00:00,en,Twitter Web App,353,106,3072,89,559,"['sport', 'college', 'total', 'span', 'moment']"
1730,1516850695223541760,"…and it’s live
#CheArs https://t.co/7amjeuzPio",1296186821223882752,2022-04-20 18:46:02+00:00,en,Twitter for iPhone,0,0,2,0,70,"['…and', 'it’s']"
1830,1516854238588112898,"Why is taking testosterone on the banned list, resulting in a 4 year ban if caught by regular testing it makes no difference? For the IOC to say there is no proof testosterone brings performance advantage is beyond preposterous🤯🤥 #sexnotgender for sport",102728963,2022-04-20 19:00:06+00:00,en,Twitter for iPhone,853,68,5595,17,757,"['testosterone', 'say', 'brings', 'sport', 'beyond', 'banned', 'performance', 'regular', 'ban', 'resulting', 'makes', 'caught', 'year', 'testing', 'taking', 'advantage', 'proof']"
1930,1516763225445961729,Still in love with my new sport bra! 🤍 https://t.co/97sleOOthM,1495943004301185026,2022-04-20 12:58:27+00:00,en,Twitter for iPhone,18,12,223,1,602,"['love', 'sport', 'new']"
2030,1516789664446705669,"Investing is both a sport and entertainment for me. I like to ""catch rare fast-moving elephants"" by finding good prey https://t.co/isDhKBk2DC",1513825416045203456,2022-04-20 14:43:31+00:00,en,Twitter Web App,0,0,3,0,664,"['prey', 'like', 'rare', 'sport', 'good', 'elephants""', '""catch', 'entertainment', 'finding']"
2130,1516704518175662080,"Antis get pressed over us zoo's loving and taking care of animals, but I dont see them doing anything about the illegal animal trade or the murder (hunting) of animals as a mere sport",1516407240462422017,2022-04-20 09:05:10+00:00,en,Twitter for Android,0,27,8,19,772,"['get', 'animals', 'animal', 'murder', 'anything', 'sport', 'see', 'pressed', 'illegal', 'loving', 'dont', 'care', 'us', 'trade', 'taking', 'mere']"
2230,1516707982951731202,Aussie swimming ace Emma McKeon makes defiant stand against transgender athletes competing in women's sport https://t.co/4wNn1M6ZdO,102728963,2022-04-20 09:18:56+00:00,en,Twitter for iPhone,814,110,5384,45,676,"['stand', 'transgender', 'sport', 'ace', 'swimming', 'makes', 'defiant', 'athletes', 'competing']"
2330,1516839154671558658,📰[SPORT] | Would you pay €40M for Robert Lewandowski? #fcblive https://t.co/LaEmO87gXJ,1603887084,2022-04-20 18:00:10+00:00,en,Hootsuite Inc.,222,451,8530,120,10,['pay']
2430,1516887482633265152,"Mikel Arteta on Nketiah: “When you’re humble &amp; hungry at the same time, good things happen. Good things happen to good people. The same with Mo Elneny &amp; Rob Holding, if you saw the training session they did on Sunday after Southampton, this is why we won the game today...” #AFC",1662772154,2022-04-20 21:12:12+00:00,en,Twitter for iPhone,161,6,1513,7,153,"['game', 'hungry', 'you’re', 'good', 'session', 'happen', 'humble', 'training', 'things', 'saw']"
2494,1516887752444461057,"One of the best team goals you'll see all season from Arsenal, finished by Emile Smith Rowe, as they beat Chelsea 4-2. https://t.co/m7qfgMk9aS",29930178,2022-04-20 21:13:17+00:00,en,Twitter Media Studio,2,2,22,1,187,"['goals', 'finished', 'see', 'best', 'team', 'beat', 'season']"
2558,1516970563276840965,"The silence in January was deafening...
Today Novak Djokovic says out loud that he does not support the decision at Wimbledon because when politics interferes with sport, it usually does not go well.

That's my CHAMPION.",363548066,2022-04-21 02:42:20+00:00,en,Twitter for Android,193,47,1468,14,74,"['go', 'silence', 'says', 'loud', 'interferes', 'politics', 'usually', 'decision', 'support']"
2562,1516791407301828612,We will all  sport  Imran Khan and PTI  #امپورٹڈ_حکومت_نامنظور https://t.co/jPrTjKPdyz,1510235787073404935,2022-04-20 14:50:26+00:00,en,Twitter for Android,1,1,2,0,523,['sport']
2662,1516746500721815554,"The Chicago Bulls play today. 
The Chicago White Sox play today. 
The Chicago Cubs play today. 
The Chicago Blackhawks play today.",2319815600,2022-04-20 11:52:00+00:00,en,TweetDeck,270,59,3054,73,76,['play']
2762,1516944541856813056,Solo ski's is my new favorite sport/activity 😩 https://t.co/xudbWMXxGO,1283169367711072257,2022-04-21 00:58:56+00:00,en,Twitter for iPhone,9,1,53,0,80,"['favorite', 'new']"
2778,1516932089060507648,"yₒᵤ ₖₙₑw, ₒₗd ₛₚₒᵣₜ",964026206,2022-04-21 00:09:27+00:00,en,Twitter for iPhone,31,0,28,62,17,"['yₒᵤ', 'ₒₗd', 'ₛₚₒᵣₜ']"
2803,1516990367739961344,Got to keep up on the latest news. I love Dressage. I totally recommend the sport. https://t.co/xI1wjcvfCy,1456682603885465603,2022-04-21 04:01:02+00:00,en,Twitter for iPhone,2,2,50,0,41,"['love', 'keep']"
2804,1516929397864939520,Our man Brady !!! Two sport Stud!!! https://t.co/ZdUE5JE5Jp,1100866277634117641,2022-04-20 23:58:46+00:00,en,Twitter for iPhone,0,0,9,0,554,"['man', 'sport']"
2829,1516839094176952330,"Instagram : @anllela_sagra
#fitness #fitnessgirl #sport #FitnessModel  #FitnessMotivation #anllela_sagra https://t.co/wx7Jpe7LQu",1512919780478570505,2022-04-20 17:59:56+00:00,en,Twitter Web App,0,0,5,0,0,[]
2929,1516826508874207234,"Last time out ＠Tyson_Fury gave us a classic!

An incredible end to the Wilder Trilogy!

#FuryWhyte | Saturday | BT Sport Box Office https://t.co/fMZkiQyy1h",198867393,2022-04-20 17:09:55+00:00,en,Twitter Media Studio,253,40,2222,30,105,"['incredible', 'time', 'gave', 'us', 'end']"
